Trecho,Código,Categoria
"(a etapa de processamento de dados seria) falar, ""ah esses atributos talvez sejam interessantes para mim, então deixa eu pegar esses dados"", entendi.",Processamento de dados como etapa de coleta de dados relevantes.,Atividade [Processamento de dados]
Então fazer outras coisas com os atributos (refere-se a engenharia de atributos).,Engenharia de atributos como a etapa de manipulação do dado coletado.,Atividade [Engenharia de atributos]
"Engenharia, treino, avaliação, volto para a engenharia.",Ciclo de desenvolvimento existe devido a incerteza da corretude.,Desafio [Geral]
"As vezes eu pego mais dados (refere-se ao processamento de dados), vejo que não tenho uma coluna que poderia ter.",Processamento de dados reexecutado caso dados não sejam suficientes.,Atividade [Processamento de dados]
"Eu não sei se só de treinar eu já voltaria para a engenharia de atributos, porque eu precisaria de avaliar o que estou fazendo para voltar para alguma etapa.",Avaliação da indicios da corretude do modelo. ,Limitação [Avaliação do modelo] 
,Resultado da avaliação da indicios da etapa que gerou problemas.,Limitação [Avaliação do modelo]
"Ficaria nesse ciclo aqui (engenharia de atributos, treino do modelo, avaliação do modelo), às vezes voltando nesse aqui (refere-se ao processamento de dados). Esse daqui (refere-se aos requisitos do modelo), só se a pessoa me voltar com outra especificação.",Cilco de desenvolvimento existe devido a incerteza da corretude.,Desafio [Geral] 
,Etapa de requisitos do modelo só é revisitada caso surjam novos requisitos,Apontamento [Requisitos do Modelo]
"o mesmo desenvolvedor em todas as etapas. Assim, mas partindo do pressuposto que esses requisitos é algum usuário do sistema que está querendo aquilo, você está partindo de uma necessidade externa, não é você que está definindo a necessidade.",Único desenvolvedor em todas as etapas.,Limitação [Geral]
,Presença do desenvolvedor,Limitação [Geral]
não.,Metodologias de desenvolvimento não são seguidas.,Limitação [Geral]
"eu tenho um padrão que eu sigo, mas que não necessariamente é o padrão dos desenvolvedores.",Padrões de código não são seguidos.,Limitação [Geral]
"pode ser que eu chegue aqui na avaliação e perceba, poxa [...] eu não consigo melhorar a qualidade do meu modelo de jeito nenhum. Volto nos dados, dou uma olhada, ""será que eu estou perdendo alguma coisa?"".",Avaliação da indicios da corretude do modelo. ,Limitação [Avaliação do modelo] 
,Dificuldade em melhorar resultados de avaliação pode indicar problemas nos dados.,Limitação [Avaliação do modelo]
"As vezes tem alguma conversa com o especialista do domínio pra entender alguma coisa. Aí ele fala, ""tem alguma feature que pode ser interessante pra você""",Especialista do domínio indica atributos relevantes.,Atividade [Engenharia de atributos] 
,Presença do especialista de domínio,Ator [Engenharia de atributos]
"associado ao cliente, é a pessoa que entende dessa tarefa (domínio da aplicação) [...].",Especialista do domínio associado ao cliente.,Ator [Geral]
"eu acho que existem diversas realidades, quando você vai trabalhar em projetos maiores, faz todo o sentido você ter um time misto. Por exemplo, tem uma pessoa que é especialista em visualização, uma pessoa que é especialista em estatística, um outro que é especialista em algoritmo de Machine Learning.",Projetos maiores requerem especialistas em cada uma das etapas.,Limitação [Geral]
Eu acho que se talvez eu fosse ser encaixado em uma delas eu acredito que estaria mais para o lado de Machine Learning.,Entrevistado se considera mais experiente no Treino do Modelo.,Limitação [Treino do modelo]
isso daí a pessoa responsável por isso daqui (requisitos do modelo) está sempre tentando melhorar a qualidade.,Cliente avalia a qualidade do modelo,Atividade [Avaliação do modelo] 
,Cliente define os requisitos dos modelo.,Atividade [Requisitos dos modelo] 
,Presença do cliente,Ator [Avaliação do modelo]
,Presença do cliente,Ator [Requisitos dos modelo]
eu vou considerar a mais trabalhosa. É a etapa de obtenção dos dados (processamento de dados) e a de trabalhar os dados (engenharia de atributos).,Processamento de dados como etapa mais trabalhosa ,Desafio [Processamento de dados] 
,Engenharia de atributos como etapa mais problemática,Desafio [Engenharia de atributos]
"muitas vezes você não sabe quais dados você vai ter que pegar, você vai ter que obter os dados de bases diferentes, você vai ter que juntar esses dados, às vezes você vai ter que usar algumas convenções próprias de por exemplo: ""o que eu faço com dados inexistentes?"".",Incerteza sobre os melhores dados para a coleta,Desafio [Processamento de dados] 
,Dados de bases diferentes dificultam a obtenção ,Desafio [Processamento de dados] 
,Dificuldade de definir convenções próprias para dados faltantes.,Desafio [Engenharia de dados]
,Tratar dados faltantes,Atividade [Engenharia de dados]
