Trecho,Código,Categoria
"assim, da forma como está eu realizo (segue o workflow), no geral nessa ordem,",O desenvolvimento segue o workflow.,Limitação [Geral]
"eu ia comentar apenas da questão do ciclo, porque é quando você vai avançando (nas etapas) que você vê a necessidade de voltar [...]","
Ciclos de desenvolvimento existem devido a incerteza de corretude ",Desafio [Geral] 
"De forma geral é isso mesmo. E eu acho que passo mais um tempo tratando os dados, atributos.",Processamento de dados como etapa que toma mais tempo ,Desafio [Processamento de dados]
,Engenharia de atributos como etapa que toma mais tempo,Desafio [Engenharia de atributos]
"No projeto que eu trabalho, os requisitos já estão prontos, são entregues para mim.",Desenvolvedor não participa da especificação de requisitos.,Limitação [Requisitos do modelo]
"Sobre a implantação, eu encontrei mais dificuldade, uma coisa é você trabalhar com arquivo csv e gerar um modelo, testar e tudo, outra coisa é implantar ele em um sistema que já existe e que muitas coisas não podem ser alteradas.",A empresa não desenvolve MLES,
,Implantação do modelo em um sistema pré-existente,Limitação [Implantação do modelo]
,Dificuldade de implantar o modelo devido a regras de negócio do sistema pré existente.,Desafio [Implantação do modelo]
"Uma outra coisa sobre a implementação é que eu vinha trabalhando com sklearn, e eu sinto que é uma biblioteca mais para você estudar, desenvolver modelo do que para aplicar no mundo real (aplicações reais). Eu vi que existiam outras alternativas mais profissionais, mas tive que me resguardar a esta. [...] Outra alternativa seria o Spark, algumas outras alternativas que são mais escaláveis.",Uso de Frameworks para criação de modelos ,Método [Treino do modelo]
,Frameworks utilizados são pouco escaláveis para aplicações reais ,Desafio [Treino do modelo]
,Frameworks mais profisisonais existem.,Limitação [Treino do modelo]
"apenas um desenvolvedor mesmo, só eu que trabalhava com isso.",Único desenvolvedor em todas as etapas.,Limitação [Geral]
,Presença do desenvolvedor,Ator [Geral]
"não, o projeto era bem livre, não tinha apego a nenhum tipo de metodologia, acho que poderia até ajudar, mas ...",Metodologias de desenvolvimento não são seguidas.,Limitação [Geral]
"não, também não. Tem que usar o bom senso aí.",Padrões de código não são seguidos.,Limitação [Geral]
essas etapas de treino e avaliação tem que se repetir né? você tá o tempo todo tentando tunar o seu modelo. [...] Isso é o principal.,Ciclos de desenvolvimento existem devido a incerteza de corretude ,Desafio [Geral]
