Trecho,Código,Categoria
"Bom. A gente trabalha na <<compahia>>, a gente trabalha com equipes bem interdisciplinares, né? E a gente trabalha - pelo menos no laboratório do Rio, hoje - com problemas muito aplicados a diferentes indústrias.",Equipes multidisciplinares ,
,Problemas de diferentes indústrias.,
"Então principalmente nessa parte, quando você tá trabalhando com ciência aplicada, você tá trabalhando em cima de um domínio - no geral que você não conhece necessariamente esse domínio. ",Em geral desenvolvedores tem pouca experiência no domínio ,Desafio [Geral]
"Por exemplo: você pode estar trabalhando no domínio de meteorologia, no domínio de bioinformática, no domínio de petróleo e gás - que gente acaba necessitando muito do especialista do domínio.",Dependência do desenvolvedor com o especialista do domínio,Desafio [Geral]
,Presença do especialista do domínio,Ator [Geral]
,Presença do desenvolvedor.,Ator [Geral]
"Então, por exemplo, a parte de Model Requirements, acaba sendo uma decisão colegiada né? Assim, juntam-se todos os especialistas em machine learning, especialistas de domínio, e no geral a gente vai fazer um modelo requerido pelos cientistas de domínio, então provavelmente os requisitos dos problemas serão trazidos por eles. Mas enfim, de quem partiu o problema vai ser levantado isso [os requisitos], e isso acaba tornando - essa parte vermelha [Model Requirement] - uma decisão mais colegiada.
",Todos os envolvidos elicitam os requisitos do modelo em uma decisão colegiada,Atividade [Requisitos do modelo]
,Requisitos coletados de quem originou o problema.,Método [Requisitos do modelo]
"Essa parte de Data Collection, Cleaning e Labelling, geralmente fica [com] o especialista de domínio. Porque enfim, ele que conhece o domínio do dado, ele que geralmente traz o dado, então geralmente fica com o cientista de domínio.",Processamento de dados executado pelo especialista do domínio ,Atividadade [Processamento de dados]
"A parte de Feature Engineering, ela é meio complicado hoje, né? Porque a gente tá trabalhando, grande parte a gente pode trabalhar com… A gente pode fazer propriamente a Feature Engineering do dado, extrair os dados ou a gente pode aprender representações em cima desses dados né? Que entra nesse contexto de Deep Learning",Atributos podem ser coletados diretamente dos dados ,Método [Engenharia de atributos]
,Atributos podem ter representações aprendidas nos dados.,Método [Engenharia de atributos]
"No geral os modelos mais novos fazem a parte de Feature Engineering junto com Model Training, a gente monta lá o nosso modelo, a arquitetura do nosso modelo e faz tudo junto. Então seria uma coisa mais do machine learning engineer ou do data scientist, não sei qual o termo melhor para você usar, mas aqui ficaria mais o machine learning engineer.",Modelos mais novos fazem a engenharia de atributos e o treino de forma única ,Método [Engenharia de atributos]
,Engenharia de atributos de modelos mais novos é feita pelo desenvolvedor.,Atividade [Engenharia de atributos]
"No contexto de métodos tradicionais de machine learning, onde a gente tem que pegar feature mesmo, fazer a feature, aí eu acho que já é uma questão de colaboração. Ou essa feature vem inteira junto com o dado ou é uma feature combinada, do tipo, o cientista de domínio ele me aponta o que é importante e eu com os conhecimentos de machine learning vou obter aquela informação, seja ela uma imagem, fazendo, mudando, extraindo características da imagem, seja lá o que for. Então tem essas duas abordagens.",Modelos mais tradicionais não fazem a engenharia de atributos,Método [Engenharia de atributos]
"Se for uma abordagem mais de apreender a representação do dado, então fica só para mim. Se for uma questão de ter que escolher uma feature fica com os dois, tanto o machine learning engineer quanto o especialista do domínio.",Utilizando modelos novos a engenharia de atributos é feita pelo desenvolvedor.,Atividade [Engenharia de atributos]
,Utilizando modelos tradicionais a engenharia de atributos é feita pelo desenvolvedor e o especialista de domínio.,Atividade [Engenharia de atributos]
