Trecho,Código,Categoria
"sim, seguimos isso mesmo (sequência de etapas). De repente tem mais granularidade, mas de maneira geral é isso mesmo [...]. Por exemplo, o processamento de dados tem um conjunto de atividades [...], engenharia de atributos também, mas beleza.",Atribuíria mais granularidade ao workflow,Limitação [Geral] 
"não, não. Eu participava de todas as etapas mesmo. Desde o processamento dos dados, até a implantação do modelo. Às vezes a implantação não muito, mais o cara da infraestrutura. Então seria mais daqui (refere-se ao processamento de dados) até a avaliação do modelo. Em todos os projetos que eu vi, só tinha um cara pra fazer tudo isso.",Único desenvolvedor em todas as etapas.,Limitação [Geral] 
,Presença do desenvolvedor,Ator [Geral]
,A implantação do modelo é auxiliada por uma equipe de infraestrutura.,Limitação [Implantação do modelo] 
,Presença da equipe de infraestrutura ,Ator [Implantação do modelo]
"essas daqui: processamento de dados, engenharia de atributos, treinamento do modelo e avaliação. [...] Eu passava todos os pacotes para o cara (da infraestrutura) e ele implantava lá.",O modelo gerado é repassado para a equipe de infraestrutura para implantação,Atividade [Implantação do modelo]
"eu participava da parte dos requisitos, porém mais para o entendimento. Aí tinham mais pessoas envolvidas no projeto, como o gerente",Desenvolvedor participa da elicitação de requisitos,Atividade [Requisitos do modelo] 
,Gerente participa da elicitação dos requisitos,Atividade [Requisitos do modelo] 
,Presença do gerente,Ator [Requisitos do modelo]
,Cliente participa da elicitação dos requisitos,Atividade [Requisitos do modelo] 
,Presença do cliente,Ator [Requisitos do modelo]
"cara, tipo assim, uma metodologia em si não. Era algo meio empírico, sabe?",Metodologias de desenvolvimento não são seguidas.,Atividade [Geral]
"não, padrão de código não. [...] nós trabalhávamos com coisas mais ou menos conhecidas, como comentar o código [...], como era python toda essa questão da indexação do código tem que estar certinha [...], é mais isso.",Padrões de código não são seguidos.,Limitação [Geral]
"Muitas vezes já aconteceu de nós estarmos treinando o modelo e a gente encontrar problemas, tendo que voltar para a engenharia de atributos. Isso também ocorreu na avaliação, pegar muita coisa que não está certa e voltar para a engenharia de atributos. E assim, é um vai e volta.",Ciclos de desenvolvimento existem devido a incerteza de corretude ,Desafio [Geral]
,Problemas na avaliação indicam problemas na engenharia de atributos.,Limitação [Avaliação do modelo]
"a avaliação. Se você não chega a um resultado bom, você tem que voltar, trocar modelo, ou mexer mais com os dados. ",Avaliação do modelo como etapa que mais se repete.,Desafio [Avaliação do modelo]
"no meu caso sim. Como a gente trabalhava com uma metodologia ágil, então temos o product owner. Então esse cara que fala se temos bons resultados ou não. É porque o cara conhece mais do negócio, entendeu? Aí o cara tá muito envolvido nos requisitos, e ele tem uma boa perspectiva do que o cliente quer.",Empresa desenvolve MLES.,
,O desenvolvimento do MLES segue uma metodologia ágil.,
,O cliente avalia a qualidade do modelo.,Atividade [Avaliação do modelo] 
,Presença do cliente ,Ator [Avaliação do modelo]
