Trecho,Código,Categoria
"é… vamos lá né… Nesse workflow, a gente tá falando mais especificamente de ML, né? Então, no final das contas, é… esse workflow representa um subconjunto dos nossos workflows, a gente tem uma equipe ali desenvolvimento de software que não faz somente ML, então acho que dentro desse subconjunto.",Empresa desenvolve MLES.,
,Modelos de ML são módulos do MLES.,
"Começando ali pelo primeiro, a parte de requisitos [Model Requirements], eu acho que vem muito do cliente, né? O que o cliente quer, qual a tarefa que ele gostaria que fosse atacada usando ML, qual é o problema que ele está enfrentando e que a gente definiu internamente conversando que ML é a melhor ferramenta para atacar aquele problema e etc, né? Acho que tem muito do cliente, do input né? Do... do... de qual é o problema, o que é que a gente quer melhorar e etc, né? E aí eu acho que com base nisso, já... já entra ali o pessoal né?",Requisitos do modelo como a definição das tarefas que devem ser resolvidas com ML.,
,Requisitos do modelo especificados pelo cliente.,Atividade [Requisitos do modelo]
,Presença do cliente,Ator [Requisitos do modelo]
,Presença do desenvolvedor,Ator [Requisitos do modelo]
"A gente não tem ali papéis bem definidos, como uma software house teria, por ser um grupo que você sabe, né? Acho que os outros que você entrevistou também são do grupo ali, é um grupo de pesquisa aplicada, né? Tem muito desse componente de computação mas também tem um outro componente de pesquisa, não é uma software house por assim dizer, né? Então esses papéis se confundem um pouco.",Empresa de pesquisa e desenvolvimento,
,Desenvolvedores não possuem papeis bem específicos relacionados a ML,Limitação [Geral]
"A gente tem... pessoas ali - que vamos dizer assim - tem esse interesse, essa área de atuação mais voltada para ML e qualquer uma dessas pessoas - respondendo a sua pergunta - atuam na perte de entender os requisitos e pensar quais modelos de ML são os mais adequados e etc, né? Então qualquer uma dessas pessoas, seja com um nível de mestrado ou doutorado podem vir a atacar esse problema e começar ali a estudar como propor um modelo de ML, para resolver o problema apresentado pelo cliente.",Desenvolvedores com interesse em ML trabalham na criação dos modelos.,Limitação [Geral]
"Eu falei muito dos requisitos, né? Mas os outros são a mesma coisa, a gente tem esse grupo de pessoas, que tem essa - vou dizer aqui, interesse, área de atuação, que faz pesquisa - que sabe o que é ML, que entende como funciona essa tecnologia e tal. Sendo que elas atacam muitas vezes esse problema, muitas vezes pode ser um grupo de pessoas que sentam para discutir, às vezes uma única pessoas.",Único desenvolvedor participa de todo o workflow como alternativa ,Limitação [Geral]
,Vários desenvolvedores participam de todo o worflow como alternativa.,Limitação [Geral]
